event,filter,POD,FAR,CSI,F1,precision,kept_fraction,TP,FP,FN,TN
Pohang 2022,F0: baseline,0.9145,0.9984,0.0016,0.0032,0.0016,0.695584,1005,633635,94,277650
Pohang 2022,F1: hillslope,0.2084,0.9983,0.0017,0.0035,0.0017,0.144213,229,131349,870,779936
Pohang 2022,F2: prob top-10%,0.6915,0.9984,0.0016,0.0031,0.0016,0.533449,760,485950,339,425335
Pohang 2022,F3: prob top-5%,0.6915,0.9984,0.0016,0.0031,0.0016,0.533449,760,485950,339,425335
Pohang 2022,F4: prob top-1%,0.6915,0.9984,0.0016,0.0031,0.0016,0.533449,760,485950,339,425335
Pohang 2022,F5: F1 ∩ top-10%,0.0646,0.9981,0.0018,0.0036,0.0019,0.041492,71,37786,1028,873499
Pohang 2022,F6: F1 ∩ top-5%,0.0646,0.9981,0.0018,0.0036,0.0019,0.041492,71,37786,1028,873499
Pohang 2022,F7: slope > 20°,0.0491,0.9988,0.0012,0.0023,0.0012,0.049291,54,44918,1045,866367
Pohang 2022,F8: F1 ∩ slope>20° ∩ prob>0.9,0.0227,0.9991,0.0009,0.0017,0.0009,0.030428,25,27737,1074,883548
Yecheon 2023,F0: baseline,0.4838,0.9855,0.0143,0.0281,0.0145,0.551784,88774,6043493,94733,4886520
Yecheon 2023,F1: hillslope,0.4168,0.9788,0.0205,0.0403,0.0212,0.325400,76494,3539847,107013,7390166
Yecheon 2023,F2: prob top-10%,0.1436,0.9903,0.0092,0.0181,0.0097,0.244911,26357,2695461,157150,8234552
Yecheon 2023,F3: prob top-5%,0.1436,0.9903,0.0092,0.0181,0.0097,0.244911,26357,2695461,157150,8234552
Yecheon 2023,F4: prob top-1%,0.1436,0.9903,0.0092,0.0181,0.0097,0.244911,26357,2695461,157150,8234552
Yecheon 2023,F5: F1 ∩ top-10%,0.0969,0.9809,0.0162,0.0320,0.0191,0.083662,17790,911987,165717,10018026
Yecheon 2023,F6: F1 ∩ top-5%,0.0969,0.9809,0.0162,0.0320,0.0191,0.083662,17790,911987,165717,10018026
Yecheon 2023,F7: slope > 20°,0.2675,0.9766,0.0220,0.0430,0.0234,0.188900,49097,2050242,134410,8879771
Yecheon 2023,F8: F1 ∩ slope>20° ∩ prob>0.9,0.1217,0.9775,0.0193,0.0379,0.0225,0.089516,22341,972501,161166,9957512
Chuncheon 2020,F0: baseline,0.7152,0.9879,0.0121,0.0239,0.0121,0.728217,11137,906347,4434,337986
Chuncheon 2020,F1: hillslope,0.5808,0.9866,0.0132,0.0262,0.0134,0.536641,9044,667072,6527,577261
Chuncheon 2020,F2: prob top-10%,0.2903,0.9885,0.0112,0.0221,0.0115,0.311996,4521,388564,11050,855769
Chuncheon 2020,F3: prob top-5%,0.2903,0.9885,0.0112,0.0221,0.0115,0.311996,4521,388564,11050,855769
Chuncheon 2020,F4: prob top-1%,0.2903,0.9885,0.0112,0.0221,0.0115,0.311996,4521,388564,11050,855769
Chuncheon 2020,F5: F1 ∩ top-10%,0.1805,0.9866,0.0127,0.0250,0.0134,0.166142,2810,206513,12761,1037820
Chuncheon 2020,F6: F1 ∩ top-5%,0.1805,0.9866,0.0127,0.0250,0.0134,0.166142,2810,206513,12761,1037820
Chuncheon 2020,F7: slope > 20°,0.4264,0.9863,0.0135,0.0266,0.0137,0.384394,6639,477661,8932,766672
Chuncheon 2020,F8: F1 ∩ slope>20° ∩ prob>0.9,0.1952,0.9869,0.0124,0.0246,0.0131,0.183866,3039,228614,12532,1015719
